Rank,Name,Score,Link,Avatar
1,betaveros (AoC++),3590,https://github.com/betaveros,https://avatars.githubusercontent.com/u/3482833?v=4
2,David Wahler (AoC++),3373,https://github.com/dwahler,https://avatars.githubusercontent.com/u/548160?v=4
3,jonathanpaulson (AoC++),3173,https://github.com/jonathanpaulson,https://avatars.githubusercontent.com/u/1028734?v=4
4,zielmicha,3159,https://github.com/zielmicha,https://avatars.githubusercontent.com/u/364357?v=4
5,bluepichu,3124,https://github.com/bluepichu,https://avatars.githubusercontent.com/u/1878074?v=4
6,tckmn,3009,https://github.com/tckmn,https://avatars.githubusercontent.com/u/2389333?v=4
7,Sophie Alpert (AoC++),2956,https://twitter.com/sophiebits,http://pbs.twimg.com/profile_images/1396684030913830912/pMZ4ENby.jpg
8,Robert Xiao,2882,https://github.com/nneonneo,https://avatars.githubusercontent.com/u/75449?v=4
9,Kevin Sun,2645,,https://lh3.googleusercontent.com/a-/AOh14Gh4eBsex0txh48Qy-DbpE4hDAfLdaKiGijGNjLzWg=s96-c
10,glguy (AoC++),2569,https://github.com/glguy,https://avatars.githubusercontent.com/u/12164?v=4
11,mserrano,2541,,https://avatars.githubusercontent.com/u/178065?v=4
12,Nathan Fenner (AoC++),2442,https://github.com/Nathan-Fenner,https://avatars.githubusercontent.com/u/6179181?v=4
13,nthistle,2099,https://github.com/nthistle,https://avatars.githubusercontent.com/u/11429656?v=4
14,petertseng,2064,https://github.com/petertseng,https://avatars.githubusercontent.com/u/346181?v=4
15,Tom Holmes,2040,https://github.com/tsholmes,https://avatars.githubusercontent.com/u/2865426?v=4
16,ZED.Charley William Thairo,1906,,https://avatars.githubusercontent.com/u/7867810?v=4
17,Fengyang Wang (AoC++),1805,https://github.com/TotalVerb,https://avatars2.githubusercontent.com/u/12903942?v=4
18,D. Salgado,1684,,https://lh3.googleusercontent.com/a/AATXAJw8KGwM1GrQ_I0Iwjm9hGesgNNIIRwOJqcuCmdO=s96-c
19,Tomas Rokicki,1634,https://github.com/rokicki,https://avatars1.githubusercontent.com/u/1631691?v=4
20,Ben Mirtchouk,1631,,https://lh3.googleusercontent.com/a-/AAuE7mBpQZY5NAqTVNKWpLyhm8WY9nggp4bo07XftbgZ
21,George Hotz (AoC++),1623,https://github.com/geohot,https://avatars.githubusercontent.com/u/72895?v=4
22,ttalvitie,1601,https://github.com/ttalvitie,https://avatars.githubusercontent.com/u/2422716?v=4
23,pbfy0,1597,https://github.com/pbfy0,https://avatars0.githubusercontent.com/u/666011?v=4
24,Alexander Haupt,1592,https://github.com/alexanderhaupt,https://avatars.githubusercontent.com/u/56802914?v=4
25,(anonymous user #638222),1547,,
26,etotheipi1,1521,,
27,m-schm (AoC++),1492,https://github.com/m-schm,https://avatars.githubusercontent.com/u/55513173?v=4
27,vash3r,1492,,
29,Benedikt Werner,1485,https://github.com/benediktwerner,https://avatars.githubusercontent.com/u/19309705?v=4
30,Matt Gruskin (AoC++),1467,,https://lh3.googleusercontent.com/a-/AOh14GhdZRvFr5qnK09ruc-wh0oCogyOE0gzDWYS5Qhf3Q=s96-c
31,orez-,1465,https://github.com/orez-,https://avatars.githubusercontent.com/u/1037028?v=4
31,Kye W. Shi,1465,https://github.com/kwshi,https://avatars.githubusercontent.com/u/3887189?v=4
33,leijurv (AoC++),1456,https://github.com/leijurv,https://avatars.githubusercontent.com/u/3837873?v=4
34,Anish Singhani (AoC++),1450,https://github.com/asinghani,https://avatars.githubusercontent.com/u/12376116?v=4
35,ethframe,1418,https://github.com/ethframe,https://avatars.githubusercontent.com/u/10119536?v=4
36,jebouin (AoC++),1391,https://github.com/jebouin,https://avatars.githubusercontent.com/u/23281929?v=4
37,Thomas Steinke (AoC++),1381,https://github.com/Epiphane,https://avatars.githubusercontent.com/u/2568722?v=4
38,Ethan Morgan (AoC++),1365,,https://lh3.googleusercontent.com/a-/AOh14GjY1S_6pBXdRF7lEtss2ghAqhj2-VZix51cBkDPTw=s96-c
